"url","Name","Name_link","Win Rate","Kd","Gpm","Gdm","Game Duration","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Herpg","Her","Dra 15","Td 15","Gd 15","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-OPL%20Split%201%202019/week-ALL/","Avant Gaming","https://gol.gg/teams/team-stats/658/split-ALL/tournament-OPL%20Split%201%202019/","57.1%","1.16","1859","90","33:20","13.8","11.8","7.0","5.2","47.6","57.1","2.43","56.1","0.71","71.4","0.95","0.2","844","0.76","51.3","33.1","1763","3.4","1.42","1.30"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-OPL%20Split%201%202019/week-ALL/","Bombers","https://gol.gg/teams/team-stats/659/split-ALL/tournament-OPL%20Split%201%202019/","90.5%","1.96","1979","358","29:48","17.6","9.0","9.0","2.2","66.7","71.4","2.10","73.0","0.67","66.7","0.67","0.8","1918","1.05","85.0","33.7","2078","3.1","1.27","1.24"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-OPL%20Split%201%202019/week-ALL/","Chiefs eSports Club","https://gol.gg/teams/team-stats/660/split-ALL/tournament-OPL%20Split%201%202019/","85.7%","1.69","1905","218","30:35","15.6","9.2","8.1","3.8","47.6","66.7","2.81","79.0","0.43","42.9","1.19","0.5","1069","0.81","73.8","33.2","1877","3.0","1.16","1.35"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-OPL%20Split%201%202019/week-ALL/","Dire Wolves","https://gol.gg/teams/team-stats/661/split-ALL/tournament-OPL%20Split%201%202019/","4.8%","0.46","1609","-342","32:33","7.6","16.5","2.3","9.3","42.9","19.0","1.14","27.9","0.38","38.1","0.24","-0.7","-1558","0.29","13.5","31.4","1501","3.2","1.34","1.03"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-OPL%20Split%201%202019/week-ALL/","Gravitas","https://gol.gg/teams/team-stats/665/split-ALL/tournament-OPL%20Split%201%202019/","42.9%","0.89","1756","-85","31:58","11.8","13.2","5.0","6.5","57.1","38.1","1.29","35.5","0.38","38.1","0.33","0.0","-486","0.67","42.9","32.3","1766","3.1","1.24","1.22"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-OPL%20Split%201%202019/week-ALL/","Legacy eSports","https://gol.gg/teams/team-stats/662/split-ALL/tournament-OPL%20Split%201%202019/","23.8%","0.58","1663","-248","31:20","8.9","15.1","3.4","8.0","28.6","14.3","0.86","22.9","0.33","33.3","0.29","-1.0","-2235","0.43","27.8","30.6","1428","3.2","1.48","1.06"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-OPL%20Split%201%202019/week-ALL/","Mammoth eSports","https://gol.gg/teams/team-stats/663/split-ALL/tournament-OPL%20Split%201%202019/","52.4%","1.19","1861","92","32:41","14.2","12.0","6.5","5.7","57.1","76.2","2.33","60.9","0.62","61.9","0.90","0.4","994","0.86","57.5","33.3","1822","2.9","1.13","1.39"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-OPL%20Split%201%202019/week-ALL/","Order","https://gol.gg/teams/team-stats/664/split-ALL/tournament-OPL%20Split%201%202019/","42.9%","0.81","1751","-83","33:55","12.0","14.8","5.9","6.7","52.4","57.1","1.76","42.7","0.48","47.6","0.52","-0.1","-545","0.81","50.0","31.3","1758","3.1","1.19","1.27"
