"url","Name","Name_link","Games","Win Rate","Kd","Gpm","Gdm","Game Duration","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Herpg","Her","Dra 15","Td 15","Gd 15","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LFL%20Spring%202019/week-ALL/","Against All Authority","https://gol.gg/teams/team-stats/707/split-ALL/tournament-LFL%20Spring%202019/","14","42.9%","1.03","1766","-45","34:16","15.3","14.9","6.6","5.7","71.4","57.1","2.36","54.8","0.50","50.0","1.00","0.0","201","1.00","57.1","29.4","2066","3.2","1.32","1.30"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LFL%20Spring%202019/week-ALL/","Gamers Origin","https://gol.gg/teams/team-stats/708/split-ALL/tournament-LFL%20Spring%202019/","16","68.8%","1.28","1932","199","32:32","15.9","12.4","7.6","4.6","62.5","68.8","2.00","48.0","0.63","62.5","0.50","0.3","1050","1.13","76.0","33.3","2066","2.9","1.17","1.34"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LFL%20Spring%202019/week-ALL/","Misfits Premier","https://gol.gg/teams/team-stats/709/split-ALL/tournament-LFL%20Spring%202019/","14","57.1%","0.98","1883","118","32:19","15.6","15.8","7.4","5.1","35.7","57.1","2.43","60.1","0.50","50.0","1.07","0.1","770","0.79","47.6","32.3","2117","3.0","1.12","1.20"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LFL%20Spring%202019/week-ALL/","ROG Esport","https://gol.gg/teams/team-stats/710/split-ALL/tournament-LFL%20Spring%202019/","16","56.3%","1.09","1802","4","32:16","14.3","13.1","5.9","6.2","50.0","43.8","2.81","64.4","0.31","33.3","0.94","0.1","-139","0.63","52.1","32.2","1980","3.8","1.68","1.19"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LFL%20Spring%202019/week-ALL/","Solary","https://gol.gg/teams/team-stats/711/split-ALL/tournament-LFL%20Spring%202019/","14","14.3%","0.52","1606","-374","29:20","7.7","14.7","1.4","8.9","21.4","-","0.93","24.2","0.36","35.7","0.50","-0.9","-2627","0.29","15.4","30.6","1406","2.9","1.27","1.06"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LFL%20Spring%202019/week-ALL/","Team LDLC","https://gol.gg/teams/team-stats/712/split-ALL/tournament-LFL%20Spring%202019/","14","85.7%","1.70","1925","255","31:23","15.9","9.4","8.9","3.4","42.9","64.3","2.57","68.8","0.57","57.1","1.29","0.8","1809","0.79","71.8","33.8","2016","3.1","1.33","1.25"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LFL%20Spring%202019/week-ALL/","Team MCES","https://gol.gg/teams/team-stats/713/split-ALL/tournament-LFL%20Spring%202019/","14","21.4%","0.58","1658","-231","33:27","9.1","15.8","3.6","8.6","57.1","28.6","1.50","31.3","0.36","38.5","0.71","-0.9","-2124","0.43","28.6","30.4","1662","3.1","1.29","1.12"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LFL%20Spring%202019/week-ALL/","Vitality.Bee","https://gol.gg/teams/team-stats/714/split-ALL/tournament-LFL%20Spring%202019/","14","50.0%","1.14","1785","46","36:01","12.2","10.7","7.2","6.4","57.1","78.6","2.07","46.7","0.71","71.4","0.86","0.4","930","0.71","46.4","32.2","1859","3.2","1.22","1.22"
