"url","Name","Name_link","Games","Win Rate","Kd","Gpm","Gdm","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Herpg","Her","Dra 15","Td 15","Gd 15","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LMS%20Spring%202019/week-ALL/","ahq e-Sports Club","https://gol.gg/teams/team-stats/642/split-ALL/tournament-LMS%20Spring%202019/","27","51.9%","1.15","1784","46","12.3","10.6","6.3","5.4","63.0","44.4","2.56","60.4","0.41","42.3","0.67","-0.2","-19","0.67","54.3","32.9","1740","4.0","1.58","1.67"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LMS%20Spring%202019/week-ALL/","Alpha Esports","https://gol.gg/teams/team-stats/643/split-ALL/tournament-LMS%20Spring%202019/","30","40.0%","0.83","1770","-55","11.2","13.5","5.3","7.3","60.0","60.0","2.17","49.5","0.53","53.3","0.93","0.3","823","0.53","35.6","32.8","1842","3.4","1.44","1.29"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LMS%20Spring%202019/week-ALL/","Dragon Gate Team","https://gol.gg/teams/team-stats/644/split-ALL/tournament-LMS%20Spring%202019/","26","23.1%","0.54","1721","-195","9.7","17.9","4.3","7.8","34.6","53.8","1.46","44.9","0.62","61.5","0.65","0.3","-87","0.27","16.7","31.8","1893","3.1","1.21","1.32"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LMS%20Spring%202019/week-ALL/","Flash Wolves","https://gol.gg/teams/team-stats/645/split-ALL/tournament-LMS%20Spring%202019/","28","71.4%","1.58","1887","174","14.9","9.4","7.3","4.5","42.9","57.1","2.11","53.9","0.43","44.4","0.54","0.3","980","0.86","68.5","34.1","1778","3.7","1.38","1.60"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LMS%20Spring%202019/week-ALL/","G-Rex","https://gol.gg/teams/team-stats/646/split-ALL/tournament-LMS%20Spring%202019/","30","46.7%","0.92","1732","-82","10.8","11.8","5.6","6.0","40.0","50.0","1.73","39.3","0.53","53.3","0.50","-0.2","-918","0.63","42.9","32.5","1573","3.6","1.57","1.42"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LMS%20Spring%202019/week-ALL/","Hong Kong Attitude","https://gol.gg/teams/team-stats/647/split-ALL/tournament-LMS%20Spring%202019/","29","44.8%","0.91","1809","18","11.3","12.4","6.0","6.1","62.1","62.1","2.66","59.4","0.41","41.4","1.24","0.3","215","0.79","56.9","33.5","1672","3.3","1.33","1.47"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LMS%20Spring%202019/week-ALL/","J Team","https://gol.gg/teams/team-stats/648/split-ALL/tournament-LMS%20Spring%202019/","28","53.6%","1.02","1790","18","12.7","12.5","6.5","5.4","42.9","46.4","1.82","41.6","0.64","64.3","0.57","0.0","-89","0.79","51.2","32.5","1955","3.9","1.39","1.41"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LMS%20Spring%202019/week-ALL/","MAD Team","https://gol.gg/teams/team-stats/649/split-ALL/tournament-LMS%20Spring%202019/","30","66.7%","1.53","1807","68","13.2","8.6","6.3","5.4","53.3","26.7","1.97","51.3","0.40","40.0","0.77","-0.7","-853","0.77","66.7","32.3","1800","3.5","1.42","1.37"
