Name,Win Rate,Kd,Gpm,Gdm,Kills Game,Deaths Game,Towers Killed,Towers Lost,Fb,Ft,Drapg,Dra,Herpg,Her,Dra 15,Td 15,Gd 15,Nash Pg,Nash,Csm,Dpm,Wpm,Vwpm,Wcpm
CLG,37.5,0.72,1693,-130,7,9.8,5.1,7.6,56.3,37.5,1.75,31,0.25,25,0.56,-0.9,-1215,0.63,34.4,33.1,1534,3.3,1.36,1.4
Cloud9,75.0,1.42,1838,156,13.8,9.8,7.8,4.4,56.3,62.5,2.38,52.8,0.63,71.4,0.88,0.3,268,0.88,71.9,32.4,2153,3.1,1.38,1.32
Clutch Gaming,31.3,0.86,1753,-59,10.9,12.8,5.4,7.6,68.8,37.5,1.75,38,0.44,50,0.69,0,-272,0.44,33.3,33.3,1807,3.7,1.43,1.4
Echo Fox,37.5,0.85,1738,-67,9.4,11.1,4.6,7.3,31.3,56.3,2.5,47.8,0.31,33.3,0.88,0.1,90,0.56,37.5,33.2,1791,3,1.03,1.4
FlyQuest,56.3,1.13,1815,53,10.7,9.4,6.8,5.6,62.5,50,2.44,53.7,0.44,43.8,0.88,0.2,736,0.75,59.4,34.3,1619,3.3,1.25,1.41
Golden Guardians,43.8,0.84,1747,-63,9.9,11.9,5.6,7.5,50,43.8,2.69,51.1,0.44,43.8,1.06,-0.3,32,0.63,41.7,33.1,1898,3.4,1.18,1.47
OpTic Gaming,37.5,0.69,1721,-99,8.7,12.6,5.8,7.3,62.5,37.5,2.25,45.5,0.56,60,0.94,-0.1,-468,0.94,51.1,32.4,1697,3.5,1.43,1.48
Team Liquid,87.5,2.06,1884,244,14.1,6.8,9.1,3.2,31.3,68.8,3.56,78,0.56,60,1.06,0.1,677,0.94,80,34.7,2110,3.3,1.17,1.46
TSM,68.8,1.21,1826,96,12.1,10,8.9,5.4,50,62.5,3,63.6,0.69,73.3,0.69,0.6,525,1.25,64.1,33.3,1966,3.3,1.34,1.41
Excel eSports,27.8,0.88,1707,-151,10.1,11.5,4.8,7.7,44.4,50,1.72,43.7,0.72,72.2,0.61,-0.4,-732,0.61,38.9,31.8,1528,3.4,1.39,1.29
FC Schalke 04,47.4,0.97,1805,-16,10,10.3,5.5,5.8,42.1,52.6,1.79,43.2,0.32,33.3,0.63,-0.3,-258,0.84,52.8,34.2,1681,3.6,1.3,1.42
Fnatic,61.1,1.22,1832,65,11.8,9.7,6.7,5.5,66.7,55.6,2.17,61.7,0.5,50,0.56,0.2,528,0.83,57.6,33.3,1734,3,1.2,1.45
G2 Esports,72.2,1.4,1947,232,17.2,12.3,8.1,4.2,50,55.6,1.89,61.1,0.61,61.1,0.5,0.4,1086,0.56,53.6,33.7,2147,3.8,1.28,1.4
Misfits,44.4,0.86,1781,-46,10.7,12.4,6.3,6.4,50,72.2,2.5,60.6,0.61,61.1,0.94,0.6,421,0.94,41.7,32.6,1652,3.4,1.48,1.27
Origen,66.7,1.27,1827,92,10.9,8.6,7.1,4.9,61.1,50,2.72,69.9,0.5,50,1.11,0.2,588,0.72,68.8,33.7,1613,3.2,1.39,1.33
Rogue,11.1,0.58,1641,-290,8.1,14,3.1,9.2,27.8,16.7,1.33,27.9,0.33,33.3,0.61,-1.1,-2194,0.22,17.8,31.7,1455,3.3,1.19,1.12
SK Gaming,52.6,0.82,1795,-13,11.2,13.7,5.9,5.9,42.1,57.9,1.68,41.3,0.47,50,0.61,0.2,-342,0.68,59.4,32.7,1759,3.1,1.18,1.27
Splyce,61.1,1.19,1854,66,14.2,11.9,7.1,6.4,72.2,33.3,2.33,50.7,0.22,25,0.47,0.1,445,0.89,54.9,33.8,1779,3.5,1.42,1.56
Team Vitality,55.6,1.03,1839,61,11.6,11.2,6.7,5.4,38.9,50,1.28,40.6,0.61,61.1,0.44,0.2,496,0.67,54.2,33.5,1760,3.5,1.24,1.35
Against All Authority,42.9,1.03,1766,-45,15.3,14.9,6.6,5.7,71.4,57.1,2.36,54.8,0.5,50,1,0,201,1,57.1,29.4,2066,3.2,1.32,1.3
Gamers Origin,68.8,1.28,1932,199,15.9,12.4,7.6,4.6,62.5,68.8,2,48,0.63,62.5,0.5,0.3,1050,1.13,76,33.3,2066,2.9,1.17,1.34
Misfits Premier,57.1,0.98,1883,118,15.6,15.8,7.4,5.1,35.7,57.1,2.43,60.1,0.5,50,1.07,0.1,770,0.79,47.6,32.3,2117,3,1.12,1.2
ROG Esport,56.3,1.09,1802,4,14.3,13.1,5.9,6.2,50,43.8,2.81,64.4,0.31,33.3,0.94,0.1,-139,0.63,52.1,32.2,1980,3.8,1.68,1.19
Solary,14.3,0.52,1606,-374,7.7,14.7,1.4,8.9,21.4,0,0.93,24.2,0.36,35.7,0.5,-0.9,-2627,0.29,15.4,30.6,1406,2.9,1.27,1.06
Team LDLC,85.7,1.7,1925,255,15.9,9.4,8.9,3.4,42.9,64.3,2.57,68.8,0.57,57.1,1.29,0.8,1809,0.79,71.8,33.8,2016,3.1,1.33,1.25
Team MCES,21.4,0.58,1658,-231,9.1,15.8,3.6,8.6,57.1,28.6,1.5,31.3,0.36,38.5,0.71,-0.9,-2124,0.43,28.6,30.4,1662,3.1,1.29,1.12
Vitality.Bee,50.0,1.14,1785,46,12.2,10.7,7.2,6.4,57.1,78.6,2.07,46.7,0.71,71.4,0.86,0.4,930,0.71,46.4,32.2,1859,3.2,1.22,1.22
All Knights,72.2,1.15,1830,143,11,9.6,8.2,3.9,55.6,72.2,2.78,62.8,0.61,61.1,1.11,0.8,1352,0.67,60.4,33.2,1922,4.1,1.45,1.58
Furious Gaming,16.7,0.69,1691,-192,8.3,12.1,3.9,8.8,61.1,33.3,1.67,33.8,0.5,50,0.78,-0.4,-946,0.44,34.7,32.1,1543,3.6,1.42,1.48
Infinity eSports,72.2,1.3,1815,104,12.4,9.5,7.1,4.7,55.6,72.2,2.39,60,0.56,55.6,0.61,1,1135,0.94,63.7,32.3,1862,3.2,1.26,1.42
