"url","Name","Name_link","Win Rate","Kd","Gpm","Gdm","Game Duration","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Herpg","Her","Dra 15","Td 15","Gd 15","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-CBLOL%20Summer%202019/week-ALL/","CNB e-Sports Club","https://gol.gg/teams/team-stats/586/split-ALL/tournament-CBLOL%20Summer%202019/","50.0%","0.90","1767","-33","35:36","10.5","11.7","6.2","7.1","55.0","50.0","2.30","47.9","0.60","60.0","1.10","0.3","311","0.80","47.5","32.6","1741","3.5","1.48","1.45"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-CBLOL%20Summer%202019/week-ALL/","Flamengo eSports","https://gol.gg/teams/team-stats/587/split-ALL/tournament-CBLOL%20Summer%202019/","95.0%","1.77","1912","256","33:49","15.2","8.5","9.5","2.6","75.0","80.0","3.40","77.8","0.75","75.0","1.35","0.6","1707","1.15","89.5","33.6","1919","3.8","1.35","1.43"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-CBLOL%20Summer%202019/week-ALL/","INTZ eSports","https://gol.gg/teams/team-stats/588/split-ALL/tournament-CBLOL%20Summer%202019/","65.0%","1.33","1848","94","35:01","13.4","10.1","7.4","5.9","60.0","75.0","2.15","51.7","0.55","57.9","1.00","0.5","937","0.85","50.0","33.0","1769","3.4","1.44","1.39"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-CBLOL%20Summer%202019/week-ALL/","KaBuM! e-Sports","https://gol.gg/teams/team-stats/589/split-ALL/tournament-CBLOL%20Summer%202019/","40.0%","0.82","1780","-51","35:27","12.0","14.7","6.3","6.9","40.0","50.0","2.35","45.8","0.50","50.0","0.60","0.1","-324","0.60","33.3","32.8","1932","3.5","1.48","1.36"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-CBLOL%20Summer%202019/week-ALL/","ProGaming eSports","https://gol.gg/teams/team-stats/590/split-ALL/tournament-CBLOL%20Summer%202019/","10.0%","0.60","1637","-263","33:56","7.6","12.6","2.8","9.4","50.0","15.0","0.65","15.6","0.30","30.0","0.25","-1.2","-2523","0.20","11.4","31.7","1509","3.4","1.40","1.19"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-CBLOL%20Summer%202019/week-ALL/","Redemption POA","https://gol.gg/teams/team-stats/591/split-ALL/tournament-CBLOL%20Summer%202019/","55.0%","1.00","1770","-17","36:14","12.6","12.5","6.1","6.1","45.0","45.0","2.50","50.6","0.40","42.1","0.85","-0.3","-350","0.90","53.3","32.2","1920","3.6","1.63","1.43"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-CBLOL%20Summer%202019/week-ALL/","Uppercut eSports","https://gol.gg/teams/team-stats/592/split-ALL/tournament-CBLOL%20Summer%202019/","45.0%","0.93","1805","22","33:46","11.2","12.0","6.1","6.1","35.0","55.0","2.40","59.3","0.35","35.0","0.80","0.3","147","0.90","57.9","33.2","1711","3.2","1.23","1.34"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-CBLOL%20Summer%202019/week-ALL/","Vivo Keyd","https://gol.gg/teams/team-stats/593/split-ALL/tournament-CBLOL%20Summer%202019/","40.0%","0.96","1799","-8","36:06","13.8","14.2","6.1","6.4","40.0","30.0","2.40","51.3","0.50","50.0","0.75","-0.3","94","1.00","57.5","32.2","1907","3.4","1.44","1.36"
