"url","Name","Name_link","Games","Win Rate","Kd","Gpm","Gdm","Game Duration","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Herpg","Her","Dra 15","Td 15","Gd 15","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-VCS%20Spring%202019/week-ALL/","Cerberus Esports","https://gol.gg/teams/team-stats/715/split-ALL/tournament-VCS%20Spring%202019/","32","40.6%","0.84","1814","-55","31:14","13.8","16.4","5.7","6.5","50.0","68.8","1.69","42.8","0.47","48.4","0.63","0.5","1038","0.50","39.7","32.6","1866","3.3","1.48","1.35"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-VCS%20Spring%202019/week-ALL/","Cherry Gaming","https://gol.gg/teams/team-stats/716/split-ALL/tournament-VCS%20Spring%202019/","30","30.0%","0.78","1771","-181","32:42","14.5","18.5","5.0","7.9","40.0","33.3","1.93","45.8","0.27","28.6","0.66","-0.4","-1664","0.53","32.7","31.5","1926","3.5","1.41","1.36"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-VCS%20Spring%202019/week-ALL/","EVOS Esports","https://gol.gg/teams/team-stats/717/split-ALL/tournament-VCS%20Spring%202019/","25","64.0%","1.08","1886","48","32:00","14.2","13.1","7.0","5.6","52.0","32.0","1.92","46.9","0.24","25.0","0.67","-0.5","-70","0.76","57.9","34.4","1827","3.2","1.12","1.27"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-VCS%20Spring%202019/week-ALL/","FFQTV Gaming","https://gol.gg/teams/team-stats/718/split-ALL/tournament-VCS%20Spring%202019/","32","50.0%","0.99","1811","-41","31:22","14.5","14.6","6.3","6.6","46.9","56.3","1.59","42.2","0.63","66.7","0.67","0.3","-164","0.69","46.7","31.6","1799","3.1","1.24","1.34"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-VCS%20Spring%202019/week-ALL/","FTV Esports","https://gol.gg/teams/team-stats/719/split-ALL/tournament-VCS%20Spring%202019/","31","32.3%","0.76","1786","-167","29:19","14.0","18.3","4.3","7.7","25.8","32.3","1.48","40.3","0.35","35.5","0.74","-0.9","-1588","0.48","35.6","31.6","1948","3.5","1.35","1.26"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-VCS%20Spring%202019/week-ALL/","GAM Esports","https://gol.gg/teams/team-stats/720/split-ALL/tournament-VCS%20Spring%202019/","34","38.2%","0.94","1811","-49","31:09","13.3","14.1","5.1","6.4","38.2","44.1","1.79","44.7","0.53","56.3","0.76","-0.1","-464","0.59","43.6","33.2","1831","3.4","1.40","1.27"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-VCS%20Spring%202019/week-ALL/","Phong Vu Buffalo","https://gol.gg/teams/team-stats/721/split-ALL/tournament-VCS%20Spring%202019/","30","83.3%","1.84","2011","328","31:31","18.6","10.1","9.0","2.7","70.0","66.7","3.20","76.1","0.73","75.9","1.28","0.7","2515","1.07","82.1","35.1","2012","3.7","1.49","1.50"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-VCS%20Spring%202019/week-ALL/","Sky Gaming","https://gol.gg/teams/team-stats/722/split-ALL/tournament-VCS%20Spring%202019/","32","65.6%","1.18","1926","135","29:41","17.7","14.9","6.7","4.9","68.8","53.1","2.16","62.0","0.53","58.6","0.87","0.3","442","0.75","65.5","32.7","2074","3.2","1.25","1.35"
