"url","Name","Name_link","Games","Win Rate","Kd","Gpm","Gdm","Game Duration","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Herpg","Her","Dra 15","Td 15","Gd 15","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-Ultraliga%20Season%201/week-ALL/","ACTINA PACT","https://gol.gg/teams/team-stats/693/split-ALL/tournament-Ultraliga%20Season%201/","17","29.4%","0.51","1653","-246","31:45","8.2","16.1","4.3","8.4","35.3","29.4","1.53","36.3","0.47","47.1","0.59","-0.9","-2489","0.35","29.2","30.7","1555","2.9","1.18","1.14"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-Ultraliga%20Season%201/week-ALL/","devils.one","https://gol.gg/teams/team-stats/695/split-ALL/tournament-Ultraliga%20Season%201/","18","66.7%","1.16","1840","133","31:25","12.3","10.6","7.5","4.1","38.9","55.6","2.50","59.3","0.56","55.6","1.11","0.3","553","0.83","64.8","33.3","1813","3.4","1.38","1.27"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-Ultraliga%20Season%201/week-ALL/","Esports Academy","https://gol.gg/teams/team-stats/694/split-ALL/tournament-Ultraliga%20Season%201/","15","20.0%","0.76","1666","-267","33:07","12.4","16.4","3.1","9.0","40.0","40.0","2.07","43.9","0.40","40.0","0.80","-0.6","-1353","0.47","24.4","29.3","1668","2.9","1.07","1.12"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-Ultraliga%20Season%201/week-ALL/","Illuminar Gaming","https://gol.gg/teams/team-stats/696/split-ALL/tournament-Ultraliga%20Season%201/","22","59.1%","1.15","1805","88","32:20","12.5","10.9","7.0","5.4","50.0","77.3","2.55","56.6","0.68","68.2","1.14","0.2","898","0.86","63.5","32.6","1879","3.2","1.14","1.22"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-Ultraliga%20Season%201/week-ALL/","Indictive Esports","https://gol.gg/teams/team-stats/697/split-ALL/tournament-Ultraliga%20Season%201/","15","26.7%","0.73","1675","-208","34:50","11.6","16.0","4.1","7.7","66.7","33.3","1.27","31.0","0.20","20.0","0.40","-0.2","-400","0.40","22.2","30.8","1785","3.0","1.07","1.19"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-Ultraliga%20Season%201/week-ALL/","PRIDE","https://gol.gg/teams/team-stats/698/split-ALL/tournament-Ultraliga%20Season%201/","19","63.2%","1.42","1860","138","31:05","13.9","9.8","6.8","4.5","47.4","47.4","1.84","47.9","0.42","42.1","0.79","0.2","474","0.84","64.8","33.1","1980","2.8","1.22","1.22"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-Ultraliga%20Season%201/week-ALL/","Rogue Esports Club","https://gol.gg/teams/team-stats/699/split-ALL/tournament-Ultraliga%20Season%201/","17","88.2%","2.01","1983","352","32:06","15.8","7.7","9.0","2.6","64.7","76.5","2.47","63.3","0.71","70.6","0.82","1.0","2671","1.00","80.4","34.8","1987","3.2","1.03","1.17"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-Ultraliga%20Season%201/week-ALL/","Wisla Plock","https://gol.gg/teams/team-stats/700/split-ALL/tournament-Ultraliga%20Season%201/","19","36.8%","0.90","1699","-85","32:04","10.4","11.5","4.8","6.7","57.9","31.6","2.16","55.9","0.47","47.4","0.89","-0.2","-816","0.47","38.9","31.6","1613","3.0","1.03","1.18"
