"url","Name","Name_link","Win Rate","Kd","Gpm","Gdm","Game Duration","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Herpg","Her","Dra 15","Td 15","Gd 15","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCL%20Spring%202019/week-ALL/","Dragon Army","https://gol.gg/teams/team-stats/650/split-ALL/tournament-LCL%20Spring%202019/","46.2%","0.93","1783","34","32:01","12.2","13.0","5.4","5.8","69.2","61.5","1.77","44.7","0.62","61.5","0.85","0.8","1178","0.54","45.5","32.4","1814","3.0","1.09","1.24"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCL%20Spring%202019/week-ALL/","Elements Pro Gaming","https://gol.gg/teams/team-stats/651/split-ALL/tournament-LCL%20Spring%202019/","84.6%","2.38","1915","356","29:42","15.5","6.5","7.8","2.5","69.2","69.2","2.38","69.6","0.69","69.2","1.08","0.8","2631","0.77","81.8","33.0","2128","3.1","1.34","1.31"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCL%20Spring%202019/week-ALL/","Gambit Esports","https://gol.gg/teams/team-stats/652/split-ALL/tournament-LCL%20Spring%202019/","84.6%","1.53","1888","208","31:51","15.8","10.4","8.3","3.3","23.1","61.5","2.54","64.7","0.38","38.5","1.08","0.2","948","1.08","81.8","32.6","2032","3.2","1.22","1.34"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCL%20Spring%202019/week-ALL/","M19 Team","https://gol.gg/teams/team-stats/653/split-ALL/tournament-LCL%20Spring%202019/","46.2%","1.20","1809","95","30:47","12.3","10.2","5.7","5.8","46.2","53.8","1.69","53.3","0.54","53.8","0.69","0.5","2131","0.38","36.4","32.4","1715","3.0","1.10","1.15"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCL%20Spring%202019/week-ALL/","RoX","https://gol.gg/teams/team-stats/654/split-ALL/tournament-LCL%20Spring%202019/","38.5%","0.87","1713","-36","30:46","9.5","10.9","4.7","6.2","46.2","53.8","1.62","44.7","0.62","61.5","0.77","0.4","731","0.31","35.0","31.2","1662","2.8","1.17","1.13"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCL%20Spring%202019/week-ALL/","Team Just Alpha","https://gol.gg/teams/team-stats/655/split-ALL/tournament-LCL%20Spring%202019/","23.1%","0.77","1654","-168","33:15","10.3","13.2","3.6","7.8","69.2","15.4","2.00","42.8","0.31","30.8","0.62","-0.2","-318","0.23","20.8","30.7","1599","3.3","1.35","1.31"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCL%20Spring%202019/week-ALL/","Vaevictis eSports","https://gol.gg/teams/team-stats/656/split-ALL/tournament-LCL%20Spring%202019/","0.0%","0.23","1350","-831","21:37","5.7","25.2","0.2","9.2","7.7","-","0.23","10.3","0.08","8.3","0.08","-4.2","-10876","0.00","0.0","21.2","1335","2.2","0.89","0.64"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCL%20Spring%202019/week-ALL/","Vega Squadron","https://gol.gg/teams/team-stats/657/split-ALL/tournament-LCL%20Spring%202019/","76.9%","1.92","1943","342","29:34","16.5","8.5","7.8","2.9","69.2","84.6","2.62","69.7","0.69","75.0","0.85","1.7","2965","0.69","70.0","33.5","2151","3.0","0.98","1.18"
